iter	RMSE
416	2.178017505
417	2.177854902
418	2.177631025
419	2.177545285
420	2.177425841
421	2.175402529
422	2.175164229
423	2.175117146
424	2.174558711
425	2.174035614
426	2.172908563
427	2.172884235
428	2.172593898
429	2.172014013
430	2.17152698
431	2.171186835
432	2.17078617
433	2.170548652
434	2.170350264
435	2.170246344
436	2.170128419
437	2.169912835
438	2.169435034
439	2.169091956
440	2.168429488
441	2.167765618
442	2.167657021
443	2.167557614
444	2.167449924
445	2.166820897
446	2.166619846
447	2.166189457
448	2.166083951
449	2.165957883
450	2.165371555
451	2.165169432
452	2.165019057
453	2.164989809
454	2.164795646
455	2.164515919
456	2.164338556
457	2.164171936
458	2.164073509
459	2.163705088
460	2.16353328
461	2.163413436
462	2.163069002
463	2.162567915
464	2.162446447
465	2.161481006
466	2.161430638
467	2.161172165
468	2.161087148
469	2.16020154
470	2.158466944
471	2.1584125
472	2.158188393
473	2.157572206
474	2.157428861
475	2.156754746
476	2.156539913
477	2.156403552
478	2.156242221
479	2.154195063
480	2.153577194
481	2.152861216
482	2.152788675
483	2.152541008
484	2.151710984
485	2.151679867
486	2.151194526
487	2.151058144
488	2.151032561
489	2.15061807
490	2.150542704
491	2.150271871
492	2.150119391
493	2.149903889
494	2.149849215
495	2.149589135
496	2.149543754
497	2.148654215
498	2.14861412
499	2.148600237
500	2.148355896
501	2.147022373
502	2.146644072
503	2.145929704
504	2.145818491
505	2.145238712
506	2.144835256
507	2.144509622
508	2.144355799
509	2.143255866
510	2.143042851
511	2.142951614
512	2.142767275
513	2.142600502
514	2.142398457
515	2.142053598
516	2.141807566
517	2.141632265
518	2.141295223
519	2.141056986
520	2.140751726
521	2.140558459
522	2.140144531
523	2.139761157
524	2.13961016
525	2.139550121
526	2.139410917
527	2.139135513
528	2.138695982
529	2.138425635
530	2.138133345
531	2.138063382
532	2.137496667
533	2.137316317
534	2.137067011
535	2.137004137
536	2.136803568
537	2.136536328
538	2.136502877
539	2.136345719
540	2.135886701
541	2.134535152
542	2.134400136
543	2.134177551
544	2.133936128
545	2.133698385
546	2.133469699
547	2.133452347
548	2.133042634
549	2.132626993
550	2.132365527
551	2.131981391
552	2.131924187
553	2.131802602
554	2.131776531
555	2.131585986
556	2.131172653
557	2.131010333
558	2.130413876
559	2.130200233
560	2.129698905
561	2.129512941
562	2.129201167
563	2.129032349
564	2.128758873
565	2.128691674
566	2.12845505
567	2.128075192
568	2.127798564
569	2.127637624
570	2.127427067
571	2.127381063
572	2.127152702
573	2.126814237
574	2.126473072
575	2.125797914
576	2.12564739
577	2.125471111
578	2.125433381
579	2.124633947
580	2.12452747
581	2.12450314
582	2.123795701
583	2.123746206
584	2.122992332
585	2.12258089
586	2.122350263
587	2.122190993
588	2.122090468
589	2.1211921
590	2.120330155
591	2.119125962
592	2.118976219
593	2.116607096
594	2.116462373
595	2.115742576
596	2.115385875
597	2.115308404
598	2.115245925
599	2.115048986
600	2.114869753
601	2.114609525
602	2.1142968
603	2.113649036
604	2.113437561
605	2.113301759
606	2.113026591
607	2.112915402
608	2.112360158
609	2.112073708
610	2.111907142
611	2.110960881
612	2.110902295
613	2.110345516
614	2.109948998
615	2.10986389
616	2.109732593
617	2.109354934
618	2.10811186
619	2.107931038
620	2.107680646
621	2.107511384
622	2.107398577
623	2.107175898
624	2.107010724
625	2.106806403
626	2.10593965
627	2.105837679
628	2.105694963
629	2.105569141
630	2.105385191
631	2.104452562
632	2.103559579
633	2.103324105
634	2.102434895
635	2.102093273
636	2.101252517
637	2.101216882
638	2.100903669
639	2.10067687
640	2.100088648
641	2.099714693
642	2.098299917
643	2.097549121
644	2.096876631
645	2.096745022
646	2.095508902
647	2.095452063
648	2.09537846
649	2.09511965
650	2.094773691
651	2.094466415
652	2.09442502
653	2.094160893
654	2.093853387
655	2.093602484
656	2.093237876
657	2.092598554
658	2.091994171
659	2.091546957
660	2.091428879
661	2.091176092
662	2.091040283
663	2.090879179
664	2.090125778
665	2.089111618
666	2.086907366
667	2.08677202
668	2.086658374
669	2.086428741
670	2.085964514
671	2.08587525
672	2.085056212
673	2.08504355
674	2.084945953
675	2.084886247
676	2.084773045
677	2.084024943
678	2.08310233
679	2.082926139
680	2.081998097
681	2.081815524
682	2.081776103
683	2.081652005
684	2.081485183
685	2.081439968
686	2.081378501
687	2.080010713
688	2.079831082
689	2.079550941
690	2.07936069
691	2.079339189
692	2.078939145
693	2.078237624
694	2.077724417
695	2.077135152
696	2.076987258
697	2.07632027
698	2.075833701
699	2.075797272
